size_sqft,bedrooms,age_years,price_lakh
650,1,12,28.5
800,2,8,35.2
950,2,5,42.0
1100,3,10,50.5
1250,3,7,58.3
1400,3,4,65.0
1550,4,6,72.5
1700,4,3,80.1
1850,4,2,88.4
2000,5,1,95.0
720,1,15,30.0
860,2,11,38.7
990,2,9,44.2
1150,3,6,53.0
1300,3,5,60.8
1450,4,8,67.5
1600,4,5,75.0
1750,4,4,83.2
1900,5,3,91.0
2100,5,2,99.5
680,1,20,26.0
830,2,18,33.5
970,2,14,41.0
1120,3,12,49.0
1280,3,9,57.2
1420,3,7,64.0
1580,4,5,71.8
1720,4,4,79.5
1880,5,3,87.0
2050,5,1,97.0
700,1,10,29.0
850,2,7,37.0
920,2,6,40.5
1080,3,9,47.5
1230,3,8,55.0
1390,3,6,63.0
1540,4,4,70.0
1690,4,3,78.0
1840,4,2,85.5
2020,5,1,96.0
760,2,13,32.0
900,2,10,39.5
1050,3,8,46.0
1200,3,5,54.5
1350,3,4,62.0
1500,4,6,69.0
1650,4,3,76.5
1800,4,2,84.0
1950,5,2,92.5
2200,5,1,102.0
